,artists,acousticness,instrumentalness,valence,mmpopularity,track_genre
0,0,0.0322,1.01e-06,0.715,0.73,0
1,1,0.924,5.56e-06,0.267,0.55,0
2,2,0.21,0.0,0.12,0.5700000000000001,0
3,3,0.905,7.07e-05,0.143,0.71,0
4,4,0.469,0.0,0.167,0.8200000000000001,0
5,5,0.289,0.0,0.666,0.58,0
6,6,0.857,2.89e-06,0.0765,0.74,0
7,7,0.559,0.0,0.712,0.8,0
8,8,0.294,0.0,0.669,0.74,0
9,9,0.426,0.00419,0.196,0.56,0
10,10,0.279,0.0,0.301,0.74,0
11,7,0.694,0.0,0.139,0.6900000000000001,0
12,11,0.749,0.0,0.607,0.52,0
13,12,0.777,0.0,0.209,0.62,0
14,13,0.124,2.83e-05,0.387,0.56,0
15,14,0.2,4.56e-05,0.238,0.58,0
16,15,0.827,4.03e-06,0.414,0.56,0
17,15,0.742,1.17e-05,0.609,0.54,0
18,8,0.294,0.0,0.669,0.68,0
19,16,0.83,0.0,0.322,0.67,0
20,7,0.559,0.0,0.712,0.75,0
21,17,0.747,0.0,0.569,0.63,0
22,6,0.857,2.89e-06,0.0765,0.7000000000000001,0
23,7,0.477,1.37e-05,0.515,0.0,0
24,7,0.381,0.0,0.754,0.0,0
25,7,0.757,0.0,0.33,0.01,0
26,7,0.788,0.0,0.664,0.0,0
27,7,0.0444,0.0,0.52,0.0,0
28,7,0.788,0.0,0.664,0.0,0
29,7,0.788,0.0,0.664,0.0,0
30,7,0.788,0.0,0.664,0.0,0
31,7,0.788,0.0,0.664,0.0,0
32,4,0.366,0.0,0.564,0.0,0
33,18,0.782,0.000225,0.202,0.0,0
34,18,0.782,0.000225,0.202,0.0,0
35,18,0.782,0.000225,0.202,0.0,0
36,19,0.939,2.56e-05,0.18,0.0,0
37,20,0.963,1.58e-05,0.316,0.0,0
38,20,0.841,0.0,0.414,0.0,0
39,19,0.939,2.56e-05,0.18,0.0,0
40,21,0.281,0.0,0.326,0.0,0
41,20,0.796,3.37e-06,0.142,0.0,0
42,22,0.15,1.81e-06,0.725,0.0,0
43,22,0.15,1.81e-06,0.725,0.0,0
44,20,0.314,0.0,0.498,0.0,0
45,22,0.15,1.81e-06,0.725,0.0,0
46,22,0.15,1.81e-06,0.725,0.0,0
47,22,0.15,1.81e-06,0.725,0.0,0
48,22,0.15,1.81e-06,0.725,0.0,0
49,22,0.15,1.81e-06,0.725,0.0,0
50,23,0.91,0.000183,0.308,0.46,0
51,24,0.076,0.0,0.56,0.61,0
52,25,0.0754,0.00256,0.298,0.6,0
53,26,0.785,0.0,0.564,0.68,0
54,27,0.894,3.44e-05,0.407,0.52,0
55,25,0.078,0.0202,0.273,0.62,0
56,28,0.91,0.168,0.159,0.51,0
57,4,0.687,0.00133,0.502,0.0,0
58,29,0.834,0.0,0.231,0.67,0
59,4,0.572,0.0,0.265,0.5700000000000001,0
60,10,0.868,0.0145,0.415,0.75,0
61,25,0.0726,0.0193,0.217,0.62,0
62,30,0.983,0.833,0.435,0.66,0
63,16,0.674,0.0,0.36,0.64,0
64,31,0.772,0.0,0.285,0.62,0
65,32,0.798,6.63e-06,0.207,0.58,0
66,33,0.896,0.0201,0.48,0.65,0
67,29,0.381,0.0,0.172,0.67,0
68,25,0.198,4.46e-06,0.196,0.65,0
69,34,0.603,0.00857,0.264,0.44,0
70,26,0.0882,1.14e-06,0.346,0.55,0
71,35,0.0733,0.0,0.125,0.7000000000000001,0
72,25,0.677,0.215,0.428,0.5700000000000001,0
73,36,0.712,0.0,0.54,0.56,0
74,37,0.158,0.000269,0.117,0.56,0
