,artists,acousticness,instrumentalness,valence,mmpopularity,track_genre
4377,1147,0.581,1.31e-05,0.413,0.47,4
2777,957,0.181,3.86e-05,0.483,0.45,2
619,231,0.92,0.0,0.361,0.52,0
2844,978,0.00159,0.793,0.673,0.45,2
7226,2062,0.813,5.8e-06,0.133,0.23,7
4446,1170,0.644,0.597,0.321,0.42,4
6101,1833,4.29e-06,0.604,0.152,0.21,6
149,62,0.702,0.0631,0.106,0.55,0
7375,2122,0.575,5.1e-06,0.89,0.22,7
1502,495,0.125,0.0132,0.906,0.21,1
3513,1073,0.168,0.0,0.757,0.0,3
1425,461,0.0268,0.232,0.816,0.09,1
5875,1792,0.000421,3.22e-06,0.152,0.23,6
165,69,0.11,0.0,0.563,0.5,0
7976,2303,0.881,3.59e-05,0.949,0.0,8
8369,2377,0.1,0.199,0.484,0.67,8
7871,2293,0.939,0.000156,0.107,0.0,8
3435,759,8.55e-05,0.000141,0.558,0.0,3
7278,2198,0.662,0.000576,0.729,0.23,7
1950,425,0.315,0.00014,0.495,0.16,1
1223,397,0.168,5.29e-05,0.561,0.28,1
7809,2293,0.961,0.0,0.64,0.0,8
1326,359,0.173,0.0254,0.798,0.07,1
3082,1027,0.239,3.92e-06,0.322,0.01,3
8375,2377,0.00881,0.00105,0.232,0.67,8
2460,836,0.425,3.81e-06,0.208,0.0,2
7388,2198,0.381,3.29e-06,0.611,0.22,7
1643,582,0.304,0.0201,0.941,0.18,1
3878,869,0.000549,0.104,0.457,0.48,3
3151,1039,0.0605,0.000159,0.0368,0.64,3
6241,1825,0.000147,0.277,0.121,0.18,6
6136,1794,1.48e-05,0.798,0.403,0.2,6
6426,1776,4.9e-05,0.898,0.308,0.17,6
3384,742,0.00281,0.0232,0.963,0.0,3
2418,673,0.0004,0.102,0.266,0.71,2
2558,866,0.00208,0.162,0.734,0.0,2
3280,710,0.194,4.09e-06,0.73,0.0,3
6280,1869,2.36e-05,0.00112,0.651,0.19,6
5369,1455,0.0131,0.0,0.653,0.52,5
4535,1363,0.994,0.973,0.0,0.53,4
4715,1153,0.991,0.958,0.148,0.51,4
3222,710,0.194,4.09e-06,0.73,0.01,3
2018,681,0.038,0.000781,0.184,0.02,2
2523,861,0.00965,0.0,0.465,0.47,2
4542,1188,0.906,0.775,0.162,0.51,4
5191,1539,0.0388,0.736,0.0526,0.44,5
8191,2376,0.0565,5.88e-06,0.65,0.41,8
7447,2042,0.878,0.0017,0.688,0.24,7
5587,1702,0.51,0.0,0.578,0.45,5
2971,681,0.0267,0.000669,0.351,0.01,3
508,132,0.0502,3.97e-05,0.328,0.31,0
80,41,0.455,0.00233,0.37,0.0,0
6751,1815,4.59e-06,0.0208,0.0752,0.16,6
2227,681,0.0179,0.0,0.875,0.8200000000000001,2
2154,728,9.52e-05,0.834,0.399,0.0,2
4144,1219,0.937,0.845,0.0809,0.54,4
4748,1187,0.956,0.803,0.0373,0.19,4
4486,1188,0.699,0.92,0.055,0.48,4
6725,1814,0.0005,0.289,0.0583,0.4,6
3196,673,0.00304,0.0011,0.367,0.76,3
6024,1871,0.746,0.877,0.0294,0.2,6
2331,781,0.0266,0.0,0.661,0.8,2
5784,1678,0.027,0.0,0.595,0.32,5
3949,1125,0.729,0.0158,0.373,0.68,4
1362,341,0.015,0.00336,0.807,0.22,1
1679,593,0.486,0.0,0.411,0.18,1
8473,2497,0.0362,2.41e-06,0.239,0.5700000000000001,8
6780,2046,0.321,0.000416,0.774,0.36,7
725,257,0.724,0.000376,0.765,0.27,0
1160,393,0.0072,0.406,0.655,0.26,1
8229,977,0.0224,0.0,0.716,0.61,8
4959,1511,0.568,0.0,0.797,0.5700000000000001,5
70,26,0.0882,1.14e-06,0.346,0.55,0
4894,1484,0.0875,0.00104,0.152,0.52,5
6952,2110,0.215,5.14e-06,0.935,0.28,7
7491,2203,0.645,0.704,0.0924,0.24,7
1435,404,0.521,0.0747,0.895,0.2,1
4384,1318,0.0459,0.68,0.718,0.03,4
4555,1197,0.992,0.906,0.173,0.27,4
7087,2055,0.765,0.0118,0.813,0.26,7
7894,2293,0.961,0.0,0.64,0.0,8
6218,1868,4.67e-05,0.331,0.616,0.19,6
3066,1032,0.0741,1.17e-05,0.172,0.0,3
3261,727,0.461,0.0,0.205,0.0,3
2959,1018,0.0046,0.0,0.243,0.8300000000000001,3
3290,719,0.00543,0.0541,0.907,0.0,3
358,93,0.013,6.73e-05,0.433,0.44,0
7912,2293,0.971,0.0,0.263,0.0,8
1885,447,0.0564,2.47e-05,0.19,0.17,1
3995,1147,0.926,3.36e-06,0.102,0.58,4
6512,1818,0.000247,0.349,0.232,0.18,6
3811,1062,0.854,6.85e-06,0.438,0.0,3
5644,1723,0.00232,0.0,0.899,0.33,5
7580,2148,0.324,8.45e-06,0.564,0.21,7
8276,2289,0.0853,0.00221,0.658,0.63,8
5462,1498,0.00541,0.00977,0.49,0.46,5
90,42,0.872,9.68e-06,0.218,0.0,0
6898,2090,0.298,0.000117,0.826,0.3,7
2612,896,0.734,0.536,0.525,0.62,2
654,132,0.0159,6.35e-06,0.635,0.3,0
6554,1870,1.01e-06,0.613,0.477,0.18,6
4287,1161,0.993,0.922,0.112,0.56,4
6063,1883,0.000102,0.842,0.0345,0.2,6
565,32,0.823,0.000193,0.425,0.47,0
8480,2498,0.156,0.0,0.884,0.0,8
2730,692,0.00704,3.81e-05,0.766,0.81,2
5655,1495,0.609,0.835,0.186,0.44,5
5758,1527,0.612,0.894,0.305,0.44,5
4737,1141,0.942,0.902,0.0337,0.37,4
6116,1815,2.99e-06,0.893,0.15,0.18,6
6787,2053,0.628,0.000548,0.884,0.34,7
2255,759,0.00512,0.0996,0.548,0.0,2
3637,1085,0.403,6.22e-05,0.228,0.65,3
156,35,0.544,2.17e-05,0.275,0.66,0
175,20,0.0325,3.78e-06,0.177,0.66,0
4351,1178,0.992,0.928,0.0502,0.51,4
140,56,0.957,3.23e-06,0.262,0.5700000000000001,0
3060,685,0.000901,0.0,0.66,0.04,3
3301,702,0.00791,0.0,0.782,0.72,3
